Paradigms,JudgingType
Do not speak very fast as I will miss half of what you say. It would be nice if you explained complex debater lingo to me. Please time yourself and time your opponents. ,1
"I have done Public Forum Debate for 4 years and am familiar with the format. I will primarily be judging the round based on the technical aspects, focusing on what pieces of offense are left by the end of the round by the teams and then weighing these arguments based on a framework to determine my vote. Narratives and rhetoric will affect the frameworks I choose to adopt in my judgment of the round. I will not consider new arguments and evidence developed during and after 2nd summary unless they are clearly interacting with previous statements made. ",2
"Traditional judge that likes to see contentions well developed or negated through strong, sound, and logical arguments. Please enunciate clearly. While spreading can be advantageous in your rebuttals, please do not forsake the quality of your arguments for speed, especially during your construct. I value respect so please be mannerly in your conduct toward judge and fellow opponent. I have judged at local and national tournaments. ",2
"Debated for two years in Public Forum at my previous high school. I'm currently a freshman at Hunter College, where I compete in moot court and mock trial. I'm probably tech > truth, meaning I'm not going to vote on unwarranted and poorly contextualized arguments. I should see your arguments properly extended in both of these speeches, that means both the warrant and the impact. Also, nothing you bring up in final is going to matter for my ballot if it wasn't also in summary (exception is that defense is sticky). I know some judges are ok with new weighing in final, but I'm personally not a fan of it. Weighing arguments is the easiest way to win the round. I should at least be seeing discussion on magnitude, scope, probability, but introducing things like strength of link, clarity of impact, etc, will usually earn you my ballot and good speaks. Start this as early in the round as possible (ideally rebuttal), and do it in every possible instance. This means that in addition to seeing you weigh arguments, I want to see you weigh and implicate things like turns. ",3
"Correspondence: albert-yang@mail.com. Yes, without the G. Background: Judging from Indonesia (literally a day ahead of US time). I judged several varsity level British/Asian/Australs parliamentary debating tournaments around Southeast Asia from 2016 till 2021. As of Feb 2022, I judged a total of 4 different PF competitions in the US. Technicalities: Some judges may put a heavy emphasis on the presence of evidence and the presentation of examples, but for me coherent logical explanation and step-by-step analysis of your argument is more valuable. Spewing out too much evidence and example before you explain your logic confuses me. Use those data to back up your arguments, not to lengthen your speech. Strategy: Don't ever forget to weigh in your arguments against your opponent's. I also expect the two-worlds scenario when you're painting your case. If you only talk about your best case and your rival's worst case, then there's no debate at all. I love the ""even ifs"" and the clear-cut comparison between your model and your rival's model, that helps me judge better. Online manner: Please speak clearly and don't rap out your speech. You know, internet problems. You may turn off cameras if you (or I happen to) experience lags. ",2
"I am a parent PF judge, and a practicing attorney with more than 25 years of experience. I believe a sound debate is about a fair, intelligible and intelligent dialogue. Speed reading off a computer screen or spreading is incompatible with such a process. Fast speakers assume the risk that I could miss some arguments/points/evidence. Additionally, if in my view you've spoken at a fast clip, I will not view unfavorably your opponent failing to respond to an argument that you have advanced. I flow arguments. While I do not take note of points made/unmade in crossfire, I pay careful attention to astute questions and answers. I prize the ability to think on one's feet and deliver a cogent response. Please bring up crossfire points that you would like me to flow in a subsequent speech. I am persuaded by well-structured, logical and linked arguments that are honestly supported by key pieces of evidence. The team advancing a contention must rejoin the issue and tell me why the opposing team's rebuttal/counter/block does not work. In crossfire, please avoid questions with long preambles. While, for the most part, I don't get into the weeds with cards and evidence, I may on occasion call for a piece. Teams should feel free to assail each other's evidence during the debate. Please do not use debate jargon. Keep the discourse civil. Incivility in any form will hurt your cause. Enthusiasm for, intensity, and passion regarding the proposition you are espousing is welcome. Discourtesy or aggression against your opponents is not. Tactical and strategic thinking in arguing, rebutting, and in crossfire is always delightful. I appreciate clear analysis of why your contention should win the day in the summary and final focus. Further, the final focus should have all that you would like me to vote on (akin to writing my RFD for me - pros of your case and cons of your opponent's.) Lastly, all arguments and evidence that are in the final focus must have been in the summary - it is a matter of fairness. Happy debating! ",1
"I have 9 years experience in coaching and judging various forms of debate and very much enjoy the opportunity to judge. For Policy and Public Forum, I judge as a policy maker and not truly on a line by line (but will evaluate all arguments in the context of a policy making decision). Please analyze the opponents case/points and prove why their opponent's case is either without foundation or weak and the policy position should not be adopted. Speed is an issue if the speaker is unintelligible. Speaker points will reflect that problem, additionally, if I don't understand, I can't flow, and if it is not on my flow, I cannot evaluate. Clarity is of utmost importance. Teams should properly provide clear ""taglines"" for their arguments in order for me to follow (I will not accept flash drives). Debater professionalism and courtesy are appreciated. ",2
A competitor will be awarded the ballot if their argument effectively meets the burden of proof/ or significantly disproves their opponents. Speakers should use clear and concise language in defining their resolution terminology and are expected to use credible sources to exemplify their case. Speakers should also strive to provide a framework and structer to their argument.  ,1
"Hi! I have a British Parliamentary background. Few implications of this on you: 1. No theory - I want to see a debate about the resolution, and your opponents do too 2. Speak slow-ish - If you spread, I won't flow. 3. I always prefer realistic impacts over increasing the chance of nuclear warfare by 0.001% 4. Warranting> Evidence generally - I care about what you think, not what some random authors on the internet do. In most cases statistics only prove correlation. This is NOT good enough to win a claim. 5. Be nice to your opponents (esp in cx) or I won't be nice to your speaks LD specific: No Kritik, no theory. I would very much like to see the actual resolution being debated ",1
"kenan.s.anderson@gmail.com UPDATE for Minneapple 2021:  I haven't judged Varsity LD since... I don't even know when. So slow down A LOT and anything invented in the last 1.5 years I probably won't know about.  I have a strong natural inclination to consequentialism. If your framework is not consequentialist, especially if it's a critical ROB or ROJ, you need to explain VERY DIRECTLY and VERY BLUNTLY how it filters offense. Otherwise, I'll probably not understand and evaluate the round differently than you would like. I debated on the circuit for four years. In general, I think debate would be better if it was slightly slower, much more topic-focused, more accessible to lay folks, and had way way way less theory. I'm saddened by the number of rounds that are not resolved by whether the core issue of the topic is good/bad. You should win because you have good arguments, not because you tricked your opponent in some technical game of extensions and cross applications. Disclosure is probably good. Needlessly specific disclosure shells are probably not. A Note On Speaker Points: Evaluating some sort of ""subjective"" skill in a single debate is hard. Instead, I use speaker points to reward what I consider good, educational, and persuasive models of debate. This means your speaks will be low if you try and win on frivolous theory or short ""X is an independent voting issue"" and you'll get great speaks for smart affirmative cases or well thought-out negative strategies. Bonus points for not reading the same plan/DA/K/ etc as everyone else on the topic. Bonus data because I'm a nerd - looking at varsity rounds only I vote neg 52% of the time (a pretty minor bias given the sample size). Feel free to use this to answer bad (NEG SIDE BIAS JUSTIFIES XXXXX) arguments. Also in out rounds I squirrel 20% of the time. If you're interested in stats for your or a judge you know lmk. I have a python script that does it really fast.  ",2
